sample;label
A experiência de ter um cachorro é maravilhosa!; positive
Fiquei muito chateado por não conseguir alcançar meus objetivos.; negative
Estou grato por ter tido a chance de conhecer pessoas incríveis.; positive
Me arrependo de não ter dito a verdade desde o início.; negative
Passar tempo com minha família é sempre muito bom!; positive
A frustração de não conseguir realizar meu sonho é difícil de lidar.; negative
Ter a oportunidade de viajar para outro país foi incrível!; positive
Lamento ter magoado uma pessoa importante na minha vida.; negative
A experiência de saltar de paraquedas foi uma loucura!; positive
É frustrante não receber reconhecimento pelo meu trabalho.; negative
Estou feliz por ter superado meus medos.; positive
Sinto arrependimento por não ter apreciado mais a minha juventude.; negative
Ter um dia de spa relaxante é sempre revigorante.; positive
A frustração de perder um ente querido é insuperável.; negative
Adorei conhecer um novo restaurante na cidade!; positive
Me arrependo de não ter pago mais atenção nas aulas de matemática.; negative
Fiquei emocionado por conseguir realizar um sonho antigo.; positive
É triste ver pessoas queridas se afastarem.; negative
Participar de uma competição esportiva foi uma experiência enriquecedora!; positive
Lamento não ter dado importância às pequenas alegrias da vida.; negative
A frustração de ter o voo cancelado estragou o início das minhas férias.; negative
Estou animado para começar um novo projeto!; positive
Me arrependo de não ter pedido desculpas quando tive a chance.; negative
Ver o pôr do sol na praia é sempre um espetáculo imperdível.; positive
É frustrante esperar tanto tempo por algo e acabar em decepção.; negative
A experiência de aprender a tocar um instrumento musical foi desafiadora, mas gratificante!; positive
Lamento ter perdido a oportunidade de estudar no exterior.; negative
Adorei encontrar um tesouro escondido no sótão de casa!; positive
É triste ver tanto desperdício de comida no mundo.; negative
A frustração de não conseguir dizer o que realmente sinto é angustiante.; negative
Sinto-me grato por ter pessoas incríveis ao meu lado.; positive
Me arrependo de não ter aproveitado mais o tempo com meus avós.; negative
Ajudar alguém em necessidade é sempre uma experiência gratificante!; positive
É frustrante ver pessoas sendo desrespeitadas por sua origem.; negative
Estou feliz por ter superado um medo que me limitava.; positive
Me arrependo de não ter abraçado mais as oportunidades profissionais.; negative
O futuro me assusta.; negative
Estou ansioso(a) para o que o futuro reserva.; positive
Não sei o que fazer com minha vida.; negative
Tenho grandes esperanças para o futuro.; positive
Sinto-me perdido(a) em relação aos meus planos.; negative
Estou confiante de que alcançarei meus objetivos.; positive
Não tenho certeza se sou bom suficiente para ter sucesso.; negative
Mal posso esperar para realizar meus sonhos.; positive
Tenho medo de falhar.; negative
Tenho certeza de que meu futuro será incrível.; positive
Não sei se conseguirei realizar meus planos.; negative
Estou otimista sobre o que está por vir.; positive
Sinto-me inseguro(a) sobre minhas habilidades.; negative
Estou empolgado(a) com as oportunidades futuras.; positive
Tenho medo de não estar à altura das expectativas.; negative
Vejo um futuro brilhante à frente.; positive
Minhas inseguranças me impedem de agir.; negative
Estou confiante de que alcançarei meus objetivos.; positive
Estou preocupado(a) com o que o futuro reserva.; negative
Acredito que o futuro me reserva grandes surpresas.; positive
Tenho dúvidas sobre o caminho que devo seguir.; negative
Estou determinado(a) a alcançar grandes coisas no futuro.; positive
Sinto-me inseguro(a) sobre minhas escolhas.; negative
Meus planos estão começando a se concretizar.; positive
Tenho medo de tomar decisões erradas para o meu futuro.; negative
Estou animado(a) com as oportunidades que estão por vir.; positive
Não estou confiante sobre o que devo fazer.; negative
Sinto-me esperançoso(a) sobre o que o futuro reserva.; positive
Estou preocupado(a) em não atingir minhas expectativas.; negative
Acredito que meu futuro será promissor.; positive
Estou inseguro(a) sobre meu potencial.; negative
Vejo muitas possibilidades emocionantes para o meu futuro.; positive
Tenho receio de não conseguir alcançar meus objetivos.; negative
Estou confiante de que farei escolhas certas para o meu futuro.; positive
Não sei se sou bom o suficiente para ter sucesso.; negative
Estou empolgado(a) com as oportunidades que estão por vir.; positive
Tenho incertezas sobre o que devo fazer.; negative
Sinto-me positivo(a) em relação ao meu futuro.; positive
Preocupo-me com o que os outros vão pensar dos meus planos.; negative
Estou entusiasmado(a) com o que me aguarda no futuro.; positive
O atendimento foi extremamente eficiente e prestativo.; positive
Os funcionários mostraram total despreparo e falta de educação no atendimento.; negative
Fiquei impressionado com a qualidade dos serviços oferecidos; positive
O hotel estava sujo e desorganizado; negative
Os restaurantes tinham opções deliciosas e variadas; positive
O transporte público funcionou perfeitamente durante a minha estadia; positive
O atendimento ao cliente deixou muito a desejar; negative
O quarto do hotel era confortável e bem equipado; positive
Havia constantes atrasos nas partidas dos voos; negative
A agência de turismo foi muito atenciosa e solícita; positive
O serviço de Wi-Fi era lento e instável; negative
O guia turístico foi muito informativo e dedicado; positive
O hotel não cumpriu com as expectativas prometidas; negative
Gostei da opção de lazer oferecida pelo hotel; positive
A qualidade da comida nos restaurantes deixou a desejar; negative
Os funcionários do aeroporto foram muito prestativos; positive
O serviço de limpeza do quarto não era satisfatório; negative
A praia era maravilhosa e bem cuidada; positive
Houve problemas com a reserva do hotel; negative
A equipe de animação era animada e entusiasmada; positive
O espetáculo era emocionante e cativante.; positive
O atendimento foi péssimo, totalmente desrespeitoso.; negative
A qualidade do espetáculo foi surpreendente, superou todas as minhas expectativas.; positive
O atendimento deixou muito a desejar, fui tratado com descaso.; negative
As performances dos atores foram incríveis, demonstrando um talento excepcional.; positive
O serviço prestado foi terrível, não tenho palavras para o quão ruim foi.; negative
A produção do espetáculo estava impecável, com uma cenografia deslumbrante.; positive
Infelizmente, não posso dizer o mesmo sobre o atendimento, que foi horrível.; negative
Os diálogos entre os personagens foram inteligentes e envolventes.; positive
O péssimo atendimento comprometeu a experiência, deixando um gosto amargo.; negative
A trilha sonora do espetáculo era hipnotizante, complementando perfeitamente as cenas.; positive
Fui mal atendido desde o momento em que entrei até a hora de sair.; negative
Os figurinos eram deslumbrantes, contribuindo para a imersão na história.; positive
O atendimento foi extremamente lento e desorganizado.; negative
As coreografias eram autênticas e bem executadas, demonstrando perícia e talento dos dançarinos.; positive
A equipe de atendimento não se importou em resolver os problemas que surgiram.; negative
Os efeitos especiais foram impressionantes, adicionando uma dimensão extra ao espetáculo.; positive
Fui tratado de forma rude e hostil durante todo o evento.; negative
O enredo do espetáculo era envolvente e cheio de reviravoltas.; positive
O atendimento deixou a desejar em todos os aspectos, desde a cordialidade até a eficiência.; negative
Os cenários eram tão realistas que me senti transportado para dentro da história.; positive
Nenhum funcionário parecia estar interessado em proporcionar uma boa experiência.; negative
Os atores transmitiram uma energia contagiante, cativando toda a plateia.; positive
O atendimento foi negligente e desrespeitoso em todos os momentos.; negative
Os momentos de humor no espetáculo arrancaram gargalhadas do público.; positive
O serviço foi completamente inadequado, sem qualquer tipo de profissionalismo.; negative
A iluminação do espetáculo criava uma atmosfera mágica e envolvente.; positive
Fui tratado de forma grosseira e desrespeitosa por todos os funcionários.; negative
Aquela foi uma das melhores peças de teatro que já assisti.; positive
O atendimento falhou em todos os aspectos, desde a atenção aos clientes até a agilidade.; negative
As atuações dos atores foram arrebatadoras, dignas de premiações.; positive
O serviço de atendimento foi péssimo, um verdadeiro desastre.; negative
O espetáculo era simplesmente magnífico, uma experiência única.; positive
Fui maltratado e ignorado pelos funcionários durante todo o tempo.; negative
A direção do espetáculo estava impecável, conduzindo cada cena de forma brilhante.; positive
O atendimento deixou muito a desejar, completamente despreparado.; negative
A emoção transmitida pelo espetáculo foi de tirar o fôlego.; positive
O atendimento foi inaceitável, com uma falta de educação gritante.; negative
Me impressionei com a criatividade dos cenários utilizados na peça.; positive
O atendimento foi extremamente demorado e desorganizado, sem nenhuma eficiência.; negative
A qualidade das performances dos atores foi excepcional, digna de aplausos.; positive
Fui tratado com total desrespeito e descaso, uma completa falta de profissionalismo.; negative
A partida foi emocionante, mas o lugar estava lotado de forma desorganizada.; negative
Foi incrível presenciar o jogo do meu time do coração em um estádio tão espetacular.; positive
O atendimento dos funcionários do estádio deixou muito a desejar.; negative
Os assentos eram confortáveis e proporcionaram uma ótima visão do campo.; positive
A partida foi decepcionante e o estádio estava sujo.; negative
O lugar estava impecavelmente limpo e bem cuidado, o que contribuiu para a experiência positiva.; positive
O serviço de alimentação oferecido pelo estádio era péssimo.; negative
Os banheiros estavam sempre limpos e bem abastecidos.; positive
A equipe de segurança do estádio não estava preparada para lidar com situações de emergência.; negative
Tive a sorte de presenciar um jogo tão empolgante em um ambiente tão agradável.; positive
A iluminação no estádio era fraca, dificultando a visualização do jogo.; negative
Essa partida foi um desperdício de tempo, assim como a estrutura do estádio.; negative
O estádio oferecia diversas opções de entretenimento além do jogo, tornando a experiência mais completa e prazerosa.; positive
O lugar estava cheio de torcedores animados e a energia era contagiante.; positive
A acústica do estádio era terrível, dificultando a audição dos comentários sobre o jogo.; negative
O estádio deveria melhorar seu sistema de som, pois era difícil acompanhar as narrações.; negative
Foi uma experiência incrível acompanhar a partida de perto, mesmo com a qualidade questionável do estádio.; positive
O atendimento dos funcionários do estádio foi prestativo e atencioso.; positive
Apesar do resultado desfavorável, a atmosfera do estádio fez a experiência valer a pena.; positive
Os assentos eram desconfortáveis e apertados, prejudicando a comodidade durante o jogo.; negative
O estádio oferecia uma diversidade de opções gastronômicas, atendendo a todos os gostos.; positive
O jogo foi emocionante, mas o atendimento do estádio deixou muito a desejar.; negative
Os telões no estádio eram de baixa qualidade e não transmitiam as imagens com nitidez.; negative
Presenciar a partida com a torcida do meu time fez com que o lugar se tornasse mágico.; positive
O estacionamento do estádio era muito caro e distante.; negative
A partida foi repleta de lances incríveis, mas a qualidade do lugar deixou a desejar.; negative
Os funcionários do estádio eram rudes e pouco prestativos.; negative
O estádio possuía uma excelente infraestrutura, com ótimas opções de conforto e lazer.; positive
O jogo foi uma decepção, assim como as condições do estádio.; negative
O atendimento durante a partida foi rápido e eficiente.; positive
O lugar estava muito bem organizado, facilitando a circulação dos torcedores.; positive
O estádio estava mal conservado e precisando de manutenção.; negative
A experiência de estar no estádio superou todas as expectativas, mesmo com alguns problemas de atendimento.; positive
O jogo foi emocionante, mas o estádio estava mal sinalizado, dificultando a orientação dos torcedores.; negative
Os funcionários do estádio eram atenciosos e prestativos, garantindo uma ótima experiência.; positive
A visibilidade do campo no estádio era parcialmente obstruída por algumas estruturas.; negative
A partida foi inesquecível e o lugar era perfeito para vivenciar esse momento.; positive
O atendimento do estádio foi demorado e desorganizado.; negative
O estádio oferecia diversas opções de entretenimento antes e após o jogo.; positive
Gostei bastante da qualidade do produto, superou minhas expectativas!; positive
A qualidade do produto deixou a desejar, esperava algo melhor.; negative
O prazo de entrega foi rápido e dentro do prazo estipulado.; positive
Fiquei extremamente insatisfeito com o prazo de entrega, demorou muito mais do que o prometido.; negative
A experiência de pós-compra foi excelente, o atendimento ao cliente foi impecável.; positive
Não tive uma boa experiência de pós-compra, o suporte ao cliente deixou a desejar.; negative
O produto é de ótima qualidade, durável e resistente.; positive
Infelizmente, o produto apresentou problemas de qualidade logo nos primeiros dias de uso.; negative
O prazo de entrega foi cumprido à risca, chegando até mesmo antes do previsto.; positive
Nunca vi um prazo de entrega tão descumprido como esse, uma verdadeira falta de respeito.; negative
A assistência pós-compra foi atenciosa, solucionando todas as minhas dúvidas.; positive
Não obtive qualquer suporte pós-compra, fiquei completamente desamparado.; negative
A qualidade do produto me surpreendeu positivamente, é realmente de primeira linha.; positive
Me arrependi da compra devido à péssima qualidade do produto.; negative
O prazo de entrega foi bem rápido, chegou antes do esperado.; positive
O prazo de entrega foi um verdadeiro pesadelo, atrasou semanas além do informado.; negative
A pós-compra foi satisfatória, recebi acompanhamento e suporte adequados.; positive
Fiquei extremamente decepcionado com a experiência de pós-compra, fui ignorado.; negative
O produto é de alta qualidade, superando minhas expectativas.; positive
A qualidade deixou a desejar, não atingiu o nível que eu esperava.; negative
Entrega rápida e eficiente, dentro do prazo estabelecido.; positive
A entrega demorou mais do que deveria, o prazo não foi cumprido.; negative
O suporte pós-compra foi excelente, fui prontamente atendido em todas as minhas solicitações.; positive
Não recebi qualquer suporte pós-compra, fiquei completamente abandonado.; negative
O produto atendeu todas as minhas necessidades, estou muito satisfeito.; positive
O produto veio com defeitos, o que causou grande insatisfação.; negative
Entrega rápida e eficiente, chegou antes do esperado.; positive
A entrega foi muito atrasada, gerando grande frustração.; negative
A assistência pós-compra foi impecável, solucionaram todos os meus problemas.; positive
Fui ignorado completamente após a compra, a assistência foi inexistente.; negative
Produto de excelente qualidade, valeu cada centavo investido.; positive
Não recomendaria esse produto, pois a qualidade é questionável.; negative
O prazo de entrega foi cumprido sem problemas, dentro do prazo combinado.; positive
O prazo de entrega não foi respeitado, demorou muito mais do que o previsto.; negative
A experiência de pós-compra foi ótima, recebi suporte eficiente.; positive
A experiência de pós-compra foi terrível, não tive nenhum suporte.; negative
A qualidade do produto é impressionante, superou todas as minhas expectativas.; positive
O produto apresentou falhas graves de qualidade, deixando a desejar.; negative
O prazo de entrega foi rápido e eficiente, chegando antes do prazo estabelecido.; positive
O prazo de entrega foi um caos, ultrapassando em muito o limite dado.; negative
A assistência pós-compra foi excelente, garantindo minha satisfação como cliente.; positive
Fiquei completamente insatisfeito com a assistência pós-compra, sem qualquer auxílio.; negative
O smartphone que comprei online apresentou defeito logo nos primeiros dias de uso.; negative
Fiquei muito insatisfeito com a qualidade do produto.; negative
O atendimento ao cliente foi péssimo, demoraram muito para responder às minhas reclamações.; negative
A experiência de devolução foi um verdadeiro pesadelo, tive que lidar com burocracias e demoras.; negative
Apesar dos problemas com o dispositivo, a empresa se mostrou disposta a ajudar e ofereceu soluções alternativas.; positive
Estou impressionado com a rapidez da resolução do meu problema após entrar em contato com o suporte.; positive
O produto entregue foi exatamente o que esperava, sem surpresas desagradáveis.; positive
Fui muito bem atendido pelo suporte técnico, que me ajudou a resolver os problemas de configuração.; positive
Embora o aparelho tenha apresentado alguns defeitos, a empresa prontamente fez a troca por um novo.; positive
A experiência de devolução foi tranquila e rápida, sem grandes complicações.; positive
A qualidade do produto me impressionou positivamente, superou as minhas expectativas.; positive
O atendimento ao cliente foi impecável, a equipe se mostrou solícita e prestativa.; positive
Estou muito satisfeito com a compra do smartphone online.; positive
O produto chegou em perfeitas condições e dentro do prazo estipulado.; positive
A empresa se recusou a fazer a troca do produto com defeito, o que me deixou bastante insatisfeito.; negative
Tive dificuldades para entrar em contato com o suporte técnico, o atendimento telefônico é péssimo.; negative
A experiência de devolução foi caótica, precisei enviar vários e-mails e ligar várias vezes para resolver o problema.; negative
Mesmo após solicitar a devolução do produto, a empresa demorou semanas para efetuar o reembolso.; negative
O produto chegou com a tela quebrada e a empresa se recusou a cobrir o conserto.; negative
A assistência técnica não conseguiu solucionar os problemas apresentados pelo smartphone.; negative
O suporte pós-venda é inexistente, não obtive nenhuma resposta às minhas dúvidas e reclamações.; negative
O processo de devolução foi extremamente burocrático, precisei preencher vários formulários e enviar documentos.; negative
A empresa não cumpriu com o prazo de entrega estipulado e não me deu informações claras sobre o status do meu pedido.; negative
Tive uma ótima experiência com o atendimento ao cliente, a empresa resolveu o problema de forma ágil e eficiente.; positive
A qualidade do produto é excelente, estou muito satisfeito com a minha compra.; positive
O suporte técnico foi muito prestativo, solucionando todas as minhas dúvidas de forma clara e objetiva.; positive
A devolução foi realizada de forma descomplicada, a empresa se mostrou compreensiva e ágil na resolução do problema.; positive
O produto veio em perfeitas condições e superou as minhas expectativas de desempenho.; positive
A equipe de atendimento foi extremamente simpática e solucionou todas as minhas questões de forma satisfatória.; positive
Tive uma experiência muito positiva com a empresa, que ofereceu total suporte durante todo o processo de compra.; positive
A qualidade do produto deixou a desejar, apresentando falhas frequentes desde os primeiros dias de uso.; negative
O atendimento ao cliente foi péssimo, com respostas evasivas e falta de comprometimento com a solução do problema.; negative
A experiência de devolução foi um verdadeiro pesadelo, com dificuldades de comunicação e processos confusos.; negative
A empresa demorou semanas para analisar e aprovar a devolução do produto com defeito.; negative
Fiquei extremamente decepcionado com a televisão que comprei, pois ela veio com defeito.; negative
O atendimento ao cliente da loja online foi péssimo, demoraram muito para solucionar meu problema.; negative
A experiência de devolução foi bem complicada, tive que esperar várias semanas para receber um reembolso.; negative
Comprei a televisão e ela chegou em perfeito estado, estou muito satisfeito com a minha compra.; positive
O atendimento ao cliente foi muito solícito, me ajudaram a resolver o problema rapidamente.; positive
Mesmo com o problema na televisão, a empresa resolveu tudo de forma eficiente e me enviou um novo aparelho.; positive
A experiência de devolução foi tranquila, recebi meu reembolso no prazo estipulado.; positive
A televisão que comprei veio com um pequeno defeito, mas nada que atrapalhe sua funcionalidade.; positive
Infelizmente, o atendimento ao cliente não foi satisfatório. Tive dificuldades para conseguir informações sobre a devolução.; negative
Ao solicitar a devolução da televisão, fui prontamente atendido e a empresa se responsabilizou pelo problema.; positive
A qualidade da televisão é excelente, estou muito contente com minha compra.; positive
O atendimento ao cliente foi terrível, tive que ligar várias vezes para conseguir alguma resposta.; negative
A experiência de devolução foi bem frustrante, a empresa não cumpriu com o prazo estabelecido.; negative
Comprei a televisão e ela veio com todos os acessórios prometidos, o produto superou minhas expectativas.; positive
O suporte ao cliente me ajudou a resolver o problema com a televisão de forma rápida e eficiente.; positive
A devolução do produto foi simples, consegui enviar a televisão de volta sem nenhum contratempo.; positive
A televisão que comprei apresentou vários defeitos após algumas semanas de uso, estou muito insatisfeito.; negative
O atendimento ao cliente foi excelente, me deram todas as informações que precisei sobre a devolução.; positive
A experiência de devolução foi um pouco complicada, tive que preencher vários formulários e seguir diversos procedimentos.; negative
A qualidade da imagem da televisão é incrível, estou muito feliz com minha compra.; positive
O atendimento ao cliente deixou muito a desejar, fui mal atendido e não resolveram meu problema.; negative
A devolução do produto foi rápida e eficiente, a empresa me reembolsou sem problemas.; positive
Infelizmente, a televisão que comprei não funcionou desde o início, estou muito decepcionado.; negative
O suporte ao cliente foi eficaz, consegui resolver o problema com a televisão sem maiores complicações.; positive
A experiência de devolução foi tranquila, a empresa me guiou passo a passo durante o processo.; positive
A televisão veio com alguns pequenos arranhões, mas a empresa solucionou a situação de forma satisfatória.; positive
O atendimento ao cliente foi muito demorado, precisei esperar horas para ser atendido.; negative
A devolução do produto foi bastante burocrática, precisei enviar diversos documentos para comprovar a compra.; negative
Estou extremamente satisfeito com a televisão que comprei, ela atendeu todas as minhas expectativas.; positive
O suporte ao cliente foi péssimo, fui tratado de forma desrespeitosa o tempo todo.; negative
A experiência de devolução foi péssima, a empresa se recusou a reembolsar meu dinheiro.; negative
A televisão que adquiri está com um problema no som, estou tentando resolver o caso com o suporte.; negative
O atendimento ao cliente foi excelente, me deram todas as orientações necessárias para devolver o produto.; positive
A devolução do produto foi rápida e eficiente, recebi meu reembolso sem problemas.; positive
A qualidade da televisão é excelente, estou impressionado com o produto que recebi.; positive
O atendimento ao cliente demorou muito para responder, precisei entrar em contato várias vezes.; negative